iter	Logloss
0	0.6880441169
1	0.6832768547
2	0.6788727479
3	0.6748729125
4	0.6710818383
5	0.6673394074
6	0.6640507032
7	0.6608469664
8	0.6578336405
9	0.654991099
10	0.652412747
11	0.6499311101
12	0.6475769417
13	0.6453350983
14	0.643498801
15	0.6415090678
16	0.6397205004
17	0.6380888017
18	0.6364236802
19	0.6348656861
20	0.6333423853
21	0.6320883034
22	0.6306912994
23	0.629466134
24	0.6283675008
25	0.6272661621
26	0.6261759846
27	0.6252320632
28	0.6243177446
29	0.6235662093
30	0.622680262
31	0.6218779083
32	0.6210397796
33	0.6202963717
34	0.6196359761
35	0.6189512611
36	0.6182897048
37	0.6176247632
38	0.6170238084
39	0.6164810899
40	0.6159024697
41	0.6153842727
42	0.6149610014
43	0.6145198697
44	0.6140324378
45	0.613652556
46	0.6132866087
47	0.6129134996
48	0.6126154298
49	0.6122672419
50	0.6119822758
51	0.6116131981
52	0.6113391905
53	0.6110309582
54	0.610721437
55	0.6104110566
56	0.6102006046
57	0.6099579882
58	0.6096997634
59	0.6094627045
60	0.6092149292
61	0.6090023529
62	0.6088323643
63	0.608597446
64	0.6083782822
65	0.6081855505
66	0.6080332509
67	0.6078721258
68	0.6076914366
69	0.6075477285
70	0.607387499
71	0.6072326138
72	0.6071105034
73	0.6069552387
74	0.6068244925
75	0.6066483337
76	0.6064917497
77	0.6063600258
78	0.6061972106
79	0.6060503981
80	0.6059201239
81	0.6057986826
82	0.6056632198
83	0.6055772516
84	0.60547738
85	0.6053464162
86	0.6052424383
87	0.6051301391
88	0.605044343
89	0.604948067
90	0.6048721258
91	0.6047566745
92	0.6046599086
93	0.6045644595
94	0.6045066605
95	0.6044109709
96	0.6043438807
97	0.6042612145
98	0.6041728762
99	0.6040598416
100	0.6039777899
101	0.6039134417
102	0.6038272283
103	0.6037500883
104	0.6036604885
105	0.6035708273
106	0.6035158364
107	0.603439834
108	0.6033668153
109	0.6032988355
110	0.6032142132
111	0.6031282237
112	0.603049708
113	0.6029903205
114	0.6029045232
115	0.6028400764
116	0.6027566715
117	0.6026910464
118	0.6026127427
119	0.6025461556
120	0.6024897592
121	0.6024394111
122	0.6023630131
123	0.6023111122
124	0.6022423858
125	0.6021842916
126	0.6021199733
127	0.6020639957
128	0.6020140966
